Protein,Gene,Description,Direction,n_WT,n_KO,n_present,Confidence
O00519,FAAH,fatty acid amide hydrolase,KO-only,0,4,4,High (4/4)
P48455,P48455,Uncharacterized protein,WT-only,3,4,4,High (4/4)
Q8CDC0,Q8CDC0,Uncharacterized protein,WT-only,4,0,4,High (4/4)
Q86SQ9,DHDDS,dehydrodolichyl diphosphate synthase subunit,KO-only,0,3,3,Moderate (3/4)
Q96L46,CAPNS2,calpain small subunit 2,WT-only,3,0,3,Moderate (3/4)
Q5J8M3,EMC4,ER membrane protein complex subunit 4,WT-only,3,0,3,Moderate (3/4)
Q96DR8,MUCL1,mucin like 1,WT-only,3,0,3,Moderate (3/4)
Q15021,NCAPD2,non-SMC condensin I complex subunit D2,WT-only,3,0,3,Moderate (3/4)
P12388,P12388,Uncharacterized protein,WT-only,3,1,3,Moderate (3/4)
P70694;Q8K023;Q91WR5,P70694,Uncharacterized protein,WT-only,3,0,3,Moderate (3/4)
P40967,PMEL,premelanosome protein,WT-only,3,0,3,Moderate (3/4)
Q497I4,Q497I4,Uncharacterized protein,WT-only,3,0,3,Moderate (3/4)
Q8BND5,Q8BND5,Uncharacterized protein,WT-only,3,1,3,Moderate (3/4)
Q86SG5,S100A7A,S100 calcium binding protein A7A,WT-only,3,0,3,Moderate (3/4)
Q96G97,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin",KO-only,0,0,0,None
P13164,IFITM1,interferon induced transmembrane protein 1,KO-only,0,0,0,None
Q9GZY0;Q9H1B4,NXF2,nuclear RNA export factor 2,KO-only,0,0,0,None
Q3UF25,Q3UF25,Uncharacterized protein,KO-only,0,0,0,None
Q60855,Q60855,Uncharacterized protein,KO-only,0,0,0,None
Q7TN60,Q7TN60,Uncharacterized protein,KO-only,0,0,0,None
Q8BIY3,Q8BIY3,Uncharacterized protein,KO-only,0,0,0,None
Q9CQ28,Q9CQ28,Uncharacterized protein,KO-only,0,0,0,None
Q96N96,SPATA13,spermatogenesis associated 13,KO-only,0,0,0,None
Q7Z6B7,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,KO-only,0,0,0,None
P70284;Q8C0Y1,P70284,Uncharacterized protein,WT-only,0,0,0,None
Q3V0C1,Q3V0C1,Uncharacterized protein,WT-only,0,0,0,None
Q4V9Z5,Q4V9Z5,Uncharacterized protein,WT-only,0,0,0,None
Q63739,Q63739,Uncharacterized protein,WT-only,0,0,0,None
Q9WUI1,Q9WUI1,Uncharacterized protein,WT-only,0,0,0,None
B3SHH9,TMEM114,transmembrane protein 114,WT-only,0,0,0,None
